t_s,u_stream_mean,u_stream_rms,u_lat_rms,u_vert_rms
9.02,12,0.712081,0.748583,0.686049
9.03,12,0.694697,0.738519,0.662753
9.04,12,0.698662,0.762317,0.681526
9.05,12,0.680505,0.738159,0.660963
9.06,12,0.680378,0.751659,0.687805
9.07,12,0.658169,0.73478,0.675875
9.08,12,0.658129,0.754618,0.70241
9.09,12,0.641172,0.73629,0.688427
9.1,12,0.646859,0.756333,0.716609
9.11,12,0.638395,0.735118,0.674503
9.12,12,0.651446,0.749952,0.668467
9.13,12,0.64115,0.734859,0.642442
9.14,12,0.650612,0.756624,0.66096
9.15,12,0.63835,0.736777,0.637139
9.16,12,0.648058,0.747432,0.656215
9.17,12,0.636508,0.719668,0.635565
9.18,12,0.645837,0.727415,0.656652
9.19,12,0.635504,0.682405,0.64929
9.2,12,0.645555,0.674464,0.680374
9.21,12,0.636155,0.639913,0.665442
9.22,12,0.647305,0.651253,0.684167
9.23,12,0.638154,0.645386,0.64219
9.24,12,0.649409,0.684992,0.638451
9.25,12,0.643242,0.687537,0.615941
9.26,12,0.656857,0.728451,0.633549
9.27,12,0.648189,0.728051,0.63071
9.28,12,0.660139,0.767035,0.671646
9.29,12,0.649342,0.749668,0.673662
9.3,12,0.658395,0.76779,0.713961
9.31,12,0.64231,0.739982,0.716539
9.32,12,0.645834,0.744806,0.7538
9.33,12,0.625639,0.720408,0.76073
9.34,12,0.627235,0.739461,0.798841
9.35,12,0.614776,0.729125,0.786098
9.36,12,0.625843,0.755153,0.802356
9.37,12,0.61883,0.743242,0.801636
9.38,12,0.63593,0.770645,0.831265
9.39,12,0.636133,0.751827,0.816979
9.4,12,0.659356,0.770009,0.834042
9.41,12,0.653476,0.742651,0.823831
9.42,12,0.666685,0.752691,0.848067
9.43,12,0.654886,0.742428,0.823619
9.44,12,0.66365,0.767415,0.832948
9.45,12,0.651114,0.761926,0.800614
9.46,12,0.659458,0.789448,0.800167
9.47,12,0.644068,0.77456,0.769206
9.48,12,0.650348,0.796706,0.778162
9.49,12,0.636098,0.787067,0.767098
9.5,12,0.64327,0.81407,0.792812
9.51,12,0.636323,0.807685,0.793113
9.52,12,0.651518,0.840286,0.824599
9.53,12,0.648187,0.835092,0.806944
9.54,12,0.66549,0.860552,0.819714
